root_id,cell_type
720575940636695438,CB3851
720575940624560392,"CB.FB3,4I3"
720575940625849232,L3
720575940629793691,Tm6
720575940626416145,NA
720575940614384757,DNg17
720575940631743884,NA
720575940618476317,L2
720575940616425531,NA
720575940609388501,TmY15
720575940617343062,Dm2
720575940629750275,Dm3
720575940630671890,NA
720575940622446085,NA
720575940635947438,Tm1
720575940639648088,NA
720575940638211930,Tm1
720575940624748306,Dm21
720575940640400547,R1-6
720575940637504142,R1-6
720575940625162754,NA
720575940629886799,Dm20
720575940635467883,Tm12
720575940609836811,Pm2
720575940632394026,SMP331b
720575940628895232,LC10a
720575940620874416,Tm1
720575940624944828,TmY18
720575940631275863,T5a
720575940635840233,NA
720575940635566584,CB1848
720575940626905981,TmY3
720575940619721782,R1-6
720575940621365313,T5c
720575940632525534,Tm2
720575940608640370,Dm3
720575940623938599,CB0938
720575940614668347,NA
720575940618204229,T2
720575940633254483,NA
720575940630924591,CB0977
720575940616343953,T4b
720575940628587752,R1-6
720575940642224859,R1-6
720575940627783932,NA
720575940632486044,Tm1
720575940633199383,NA
720575940634131391,CB3396
720575940624161207,TmY9
720575940623932413,CB1807
720575940622276106,T5a
720575940614147123,T5c
720575940621885168,T3
720575940610814788,R1-6
720575940616798813,L3
720575940624385772,T4b
720575940619027102,Tm5c
720575940629860664,Tm9
720575940633928078,T3
720575940626758489,NA
720575940623978789,KCab
720575940619694016,Mi4
720575940616976443,L5
720575940623970231,T4b
720575940631749903,TmY5a
720575940623291177,C3
720575940612366061,Tm20
720575940615505979,SLP265a
720575940627146984,Mi2
720575940615341991,Y3
720575940628425475,Tm1
720575940631758423,Mi1
720575940628375148,NA
720575940622107312,T4b
720575940618379961,MeTu3
720575940624409575,NA
720575940629280617,L2
720575940625077175,Dm9
720575940597856265,Tm16
720575940612523669,Mi1
720575940653703585,CB1989
720575940646928419,L5
720575940635043738,T3
720575940621766260,L3
720575940615668114,LCe01
720575940613905645,Pm1
720575940630869522,NA
720575940622969853,T4a
720575940613415922,TmY5a
720575940639633725,Mi15
720575940634718839,CB1662
720575940635821236,NA
720575940633723812,R1-6
720575940621506943,LB3
720575940629261553,Mi9
720575940605249154,CB0732
720575940604714528,LB1a
720575940626423226,TmYem1
720575940614046098,CB1265
720575940634179320,NA
720575940625516121,Mi2
720575940629112579,"CB.FB3,4I5"
720575940628637519,T4a
720575940631811373,NA
720575940636889456,C3
720575940634681242,T2
720575940641560628,Tm1
720575940631783528,CB3822
720575940619104532,Dm15
720575940616274619,DNpe026
720575940631392220,R1-6
720575940624139559,CB2353
720575940639925411,NA
720575940630829303,Am
720575940627820699,Tm5a
720575940628197392,cM01b
720575940631923727,NA
720575940625661966,R1-6
720575940616335675,BM_InOm
720575940644725152,R1-6
720575940612641649,L1
720575940626640158,NA
720575940636650382,T4d
720575940631242235,R1-6
720575940616723549,NA
720575940649943161,Tm6
720575940616797301,T2
720575940627675535,NA
720575940626948185,L3
720575940635385440,NA
720575940615751839,Tm2
720575940615505406,DNg23
720575940616477323,Tm1
720575940614724147,Tm4
720575940621769409,Tm4
720575940653138422,MTe02
720575940618702912,Mi2
720575940645828974,Tm6
720575940616715314,R1-6
720575940614630722,Mi4
720575940632957727,L4
720575940611792168,CB1469
720575940624258318,BM_InOm
720575940621393573,CB.FB2E4
720575940625408133,CB2993
720575940627474626,PS208b
720575940621914236,Tm2
720575940654194337,NA
720575940613961522,CB2372
720575940620047877,NA
720575940613862802,T5c
720575940622241461,CB3819
720575940622922731,Pm1
720575940622990121,Tm1
720575940656071841,CB3847
720575940633538724,NA
720575940625842471,Dm2
720575940623158601,NA
720575940620153816,T3
720575940622262493,NA
720575940630788091,Mi13
720575940614654395,SMP389c
720575940629229271,NA
720575940634041279,NA
720575940624552172,T4c
720575940605514249,NA
720575940634242782,T5d
720575940634754222,NA
720575940607976114,R1-6
720575940621097712,CB3811
720575940627120646,CB3851
720575940625800841,CB0929
720575940623713939,Tm4
720575940625803620,L1
720575940611548110,NA
720575940629409009,CB2816
720575940634974103,T5d
720575940625025719,TmY18
720575940606640928,L2
720575940618470779,Tm6
720575940635237271,Tm20
720575940604660401,CB3849
720575940632003129,Dm8
720575940629888316,NA
