root_id,cell_type,x,y,z
720575940620326872,R1-6,863548,408.68,173.8
720575940639319622,R1-6,813484,117.44,29.8
720575940621158309,R1-6,852308,72.02,259
720575940620707925,R1-6,838936,151.06,126.6
720575940632109842,R1-6,840188,339.14,93.2
720575940620673739,R8,783004,308.28,120
720575940617804505,R1-6,876480,189.46,312.8
720575940634136483,R1-6,863664,416.02,391
720575940625392532,R1-6,876400,164.48,441.4
720575940625494164,R8,832052,58,325
720575940648348548,R1-6,826908,128.84,80.6
720575940622551045,R1-6,807728,487.18,94.4
720575940624172824,R1-6,846376,242.16,176
720575940653203446,R1-6,863212,268.46,173.8
720575940626897552,R1-6,800684,222.58,48.2
720575940629282665,R1-6,807092,15.16,146
720575940614500392,R7,836800,149.76,441.6
720575940636830583,R1-6,874348,509.68,264.8
720575940616612806,R1-6,827920,228.52,92.4
720575940624105257,R1-6,803628,491.96,83.6
720575940618237789,R1-6,877208,288.92,450.6
720575940627993989,R1-6,851988,274.74,37
720575940633279180,R1-6,855920,472.28,182
720575940628010117,R1-6,827126,76.73,102.6
720575940630420311,R1-6,796728,412.64,4
720575940636112308,R1-6,856280,481.7,317.8
720575940641262032,R1-6,871392,363.46,334
720575940623971085,R1-6,803662,291.56,23.4
720575940632182058,R1-6,868044,310.56,272
720575940620540619,R1-6,848848,220.04,25.4
720575940635598746,R1-6,808040,99.96,63.6
720575940630470526,R1-6,814472,95.04,80.6
720575940628811082,R1-6,879484,304.76,267.6
720575940634840345,R1-6,885348,314.36,415
720575940607907970,R1-6,823948,24.4,100.2
720575940623592925,R1-6,863672,119.72,268.4
720575940618396628,R1-6,866524,95.64,465.4
720575940621866049,R1-6,820345.3333333334,114.68,52.866666666666646
720575940609421321,R1-6,800520,395.76,22.6
720575940653317878,R1-6,827796,478.68,105.4
720575940637375630,R1-6,805818,399.81,31.5
720575940618508774,R7,830492,406.02,89
720575940641531856,R1-6,875576,207.8,486.4
720575940620270552,R1-6,874416,72.38,369.4
720575940613210265,R1-6,873720,120.98,414
720575940648165508,R8,830532,119.14,304.6
720575940632202511,R1-6,881004,248.38,430.8
720575940640372541,R1-6,810992,424.94,87.8
720575940622361215,R7,785698,170.94,160.3
720575940631210819,R1-6,829244,284.42,48.2
720575940631787471,R1-6,865876,367.76,157.8
720575940615720854,R1-6,869720,32.4,381.8
720575940607958990,R1-6,802620,499.94,27.2
720575940622660101,R1-6,866024,391.56,352.8
720575940627108636,R7,825508,112.3,297.6
720575940638832100,R1-6,803516,476.92,67.2
720575940624167827,R1-6,803292,16.16,82
720575940632307048,R1-6,849900,8.56,297.4
720575940637156197,R8,826244,71.38,297.6
720575940621190022,R8,854556,59.52,308
720575940606330726,R1-6,811988,196.58,116.8
720575940640980864,R1-6,854080,186.34,210.2
720575940632869423,R7,800256,382.5,199.2
720575940622106790,R7,834368,92.44,377.4
720575940622176628,R7,810964,392.6,80.6
720575940613431062,R8,830032,85.06,297.6
720575940632638776,R1-6,796340,454.98,63
720575940616516364,R1-6,858984,27.96,248.4
720575940625814823,R1-6,867460,19.96,391
720575940616605490,R1-6,853292,19.9,256.6
720575940637570222,R1-6,862568,10.36,386.6
720575940617996347,R1-6,843704,73.62,160.8
720575940630902327,R1-6,803420,102.42,80.6
720575940640256115,R1-6,846688,20.38,251.2
720575940620250417,R1-6,823120,390.98,16.2
720575940627290457,R8,825728,109.8,297.6
720575940631103196,R1-6,813504,108.54,68.4
720575940616275778,R1-6,811172,479.14,94.2
