root_id,cell_type,index_id,x,y,z
720575940635967118,Unknown,115475,418985.3333333333,221862.66666666663,160093.33333333334
720575940637341668,others,118393,438608.0,162778.66666666666,160680.0
720575940618710720,others,35114,439998.0,101500.0,170400.0
720575940617717917,KCab,31008,426652.0,163324.0,174800.0
720575940636625400,others,116878,416037.3333333333,239516.0,163973.33333333334
720575940620202478,others,41042,421760.0,146130.0,167780.0
720575940613594535,Unknown,17299,401302.0,302028.0,167940.0
720575940639159797,others,122446,437290.0,332472.0,163200.0
720575940624311787,Unknown,63596,422138.0,112718.0,168780.0
720575940626087780,Unknown,72428,431368.0,157884.0,174800.0
720575940628684588,Unknown,86820,421344.0,162600.0,174800.0
720575940628817914,Unknown,87579,434272.0,172036.0,174800.0
720575940621730175,Unknown,49349,423056.0,170680.0,174800.0
720575940622336944,others,52782,418302.0,244738.0,172220.0
720575940619479744,others,37945,400866.0,297432.0,160060.0
720575940640877965,KCapbp-ap2,125982,422520.0,165916.0,174800.0
720575940626838513,Unknown,76187,431884.0,163396.0,174800.0
720575940611698674,Unknown,11631,442080.0,99616.0,167680.0
720575940645139508,KCab,129677,433764.0,160048.0,174800.0
720575940630094444,KCab,93908,428448.0,163720.0,174800.0
720575940623767223,others,60542,440194.0,96518.0,160080.0
720575940619869167,others,39474,409878.0,136700.0,162120.0
720575940604509374,KCab,695,440308.0,156896.0,174800.0
720575940612870381,Unknown,15041,429448.0,171952.0,174800.0
720575940615395414,Unknown,22923,434992.0,164480.0,174800.0
720575940627732423,others,81508,415256.0,303692.0,168160.0
720575940626268934,Unknown,73251,430852.0,256152.0,173640.0
720575940631824744,others,102420,416640.0,192764.0,164106.66666666666
720575940623032004,Unknown,56507,426792.0,171664.0,174800.0
720575940630068327,others,93797,401042.0,122511.0,167220.0
720575940612734515,others,14607,440096.0,89184.0,170280.0
720575940622392790,Unknown,53123,422444.0,162892.0,174800.0
720575940650929273,Unknown,132581,439315.5,197989.5,173910.0
720575940622006506,KCab,50836,428280.0,162756.0,174800.0
720575940624972988,Unknown,66947,447538.0,95486.0,161060.0
720575940632941975,CB3828,107213,404960.0,294688.0,168640.0
720575940615281291,KCab,22575,426688.0,164516.0,174800.0
720575940635012238,KCapbp-ap2,112933,426176.0,162520.0,174800.0
720575940625733413,KCab,70612,436508.0,160668.0,174800.0
720575940612856434,Unknown,14986,430721.7142857143,116077.14285714286,169360.0
720575940629725545,others,92022,441968.0,336796.0,160740.0
720575940638992445,others,122041,408218.0,126286.0,174700.0
720575940628641127,Unknown,86595,434678.0,186726.0,160126.66666666666
720575940654805665,KCapbp-ap2,133270,428744.0,160352.0,174800.0
720575940606436128,KCab,3124,440884.0,158248.0,174800.0
720575940627229007,Unknown,78649,423092.0,172416.0,174800.0
720575940634288735,Unknown,111222,437140.0,100736.0,173840.0
720575940629714704,Unknown,91974,425152.0,146382.66666666666,166413.33333333334
720575940630964188,others,98353,417171.2,322396.8,162696.0
720575940623175438,CB3819,57388,404032.0,288352.0,173400.0
720575940646526243,others,130899,416832.0,303776.0,164520.0
720575940626982799,others,77055,418908.0,112946.0,166820.0
720575940611652374,Unknown,11507,431984.0,158076.0,174800.0
720575940634824846,others,112465,433172.0,108720.0,174560.0
720575940623393038,Unknown,58586,435812.0,155484.0,174800.0
720575940645186868,Unknown,129735,433928.0,156944.0,174800.0
720575940612356904,KCab,13413,427608.0,168632.0,174800.0
720575940613237758,Unknown,16234,433872.0,157248.0,174800.0
720575940624531948,KCab,64729,433200.0,161684.0,174800.0
720575940618514043,others,34331,410457.77777777775,302890.6666666667,168977.77777777778
