root_id,cell_type,x,y,z,PC1,PC2,x_axis,y_axis
720575940619263557,R1-6,184748,190008,167200,-141.39618721154972,-83.85167517949354,61.61174098991196,152.4072785681934
720575940608221618,R1-6,166080,380944,139400,-506.05433518822343,-2.417894333010622,400.982201722642,308.72335557495927
720575940626027085,R8,231188,187540,195440,-176.54000929185125,-124.56673068297354,64.87653811251269,206.09289186274003
720575940624651527,R1-6,147492,312168,157360,-374.0600570164759,-81.12387955185989,248.2952822752474,291.2927443115758
720575940628365480,R1-6,155088,374168,143520,-492.3378386574698,-26.4322718219386,375.51497541448737,319.50542343915606
720575940618981917,R1-6,129972,282028,180680,-327.3923815980854,-172.19411488445792,155.9698040886801,335.4251107801069
720575940627687257,R1-6,125816,348836,161840,-447.4090062575598,-113.44732743092862,287.0308340085978,361.4670321203943
720575940631003452,R1-6,175824,349840,145320,-450.0111652933235,-13.312321525601334,349.80808948375955,283.41059846939015
720575940628758760,R1-6,170348,412884,130760,-565.7188067456897,30.732160027559758,468.5289097809936,318.5324075587286
720575940606629822,R1-6,112348,422936,157800,-593.147108503026,-108.66502489824714,405.8307872000778,446.0190042164147
720575940622654960,R1-6,118644,411816,170280,-583.4472500683917,-141.50976503375287,378.20436334892884,466.25869081027076
720575940620745351,R1-6,132620,270624,181200,-305.0498340993877,-172.04940688398125,138.2892545743185,321.7646372155787
720575940606458814,R1-6,149148,408748,138040,-557.1757020057366,-12.852579530855337,435.31118171641555,348.0145496654417
720575940640047925,R8,182516,215552,174640,-200.4491435312946,-106.86301973423116,94.62372352945077,206.5088740818909
720575940621703789,R1-6,114516,422172,150760,-585.813934846734,-85.02341554044833,414.3319209819192,422.7718139921461
720575940622610928,R1-6,151404,272304,167840,-302.198209317369,-112.42857401573589,172.1671770708906,272.62135849796647
720575940628324154,R8,197108,252992,177920,-285.6161586623036,-99.57136958610761,166.77483556299387,252.34342066556783
720575940629827600,R1-6,133564,418848,149240,-583.4766853498993,-61.78186646342186,426.56360549249416,402.87160714035576
720575940617779595,R1-6,198396,393204,128520,-531.6219387595152,63.8160592041539,461.4702556142626,271.5503238187735
720575940621815137,R1-6,157148,238232,172800,-237.8778018689577,-124.57065200693548,113.6540541256632,243.2826585357882
720575940618460061,R1-6,121588,319360,169400,-391.8797267489918,-143.06018865151123,224.91716437518357,351.35197022828413
720575940621994672,R1-6,116932,393624,158760,-534.6826145449904,-109.33856722905881,358.92759031063645,411.1099676414694
720575940655892897,R1-6,186664,306964,139920,-359.57192077442915,10.627111168255595,292.3983051783029,209.54267543880124
720575940613282533,R1-6,153288,437140,143920,-622.696959994368,-24.562843946008513,480.31858055370964,397.05024677465303
720575940635486103,R1-6,162756,312228,156640,-378.28847581803296,-63.8135162374991,262.15258252761595,280.0899128234102
720575940612939506,R8,300736,336924,146720,-463.47389258416354,104.98034016792676,432.23065119041587,197.4983167026984
720575940631844549,R1-6,159048,322284,151520,-393.30720913255846,-51.02645807321528,281.8487599054115,279.02605025144396
720575940644594848,R1-6,240564,244500,142520,-249.2552575668734,51.155376718996806,229.2378204010078,110.43132567250181
720575940619586427,R1-6,101928,337336,171760,-425.1697350225645,-168.34492983724115,236.06246729475464,391.64247792569205
720575940615574690,R1-6,169912,394064,142760,-537.5171118707299,-7.899129701446668,422.68044132485784,332.15702058712293
720575940622810974,R1-6,238304,197972,139640,-149.45842406764578,54.13583354336097,151.6796707506365,47.558243020503056
720575940629348870,R1-6,122592,395528,162320,-543.6447683014711,-114.49197845345893,362.93058428955925,420.641698145805
720575940627746941,R1-6,246572,265700,137080,-290.1166422014285,75.39729678824212,276.43041758940535,115.9251598081835
720575940606192318,R1-6,140400,261564,193560,-299.97419831825624,-202.89907556083716,115.54985217781058,343.2211913355714
720575940644919240,R1-6,166028,406468,132360,-552.529789225039,21.062491859099453,452.1777928899626,318.2263976503878
720575940618778907,R1-6,194268,340596,143720,-435.13897125163845,9.118327368524092,351.5795358449491,256.5558383100722
720575940631563515,R7,206432,293064,179440,-372.990345162524,-91.89878362563528,240.9121832421083,299.213141392304
720575940608116866,R8,200366,290454,197520,-382.18887439831997,-153.46155059556176,210.90442450911775,353.74864939321924
720575940622860856,R1-6,197312,387316,127760,-518.3829729362658,64.61486036868249,451.4260303946269,262.88880899128236
720575940626644016,R1-6,143914,243044,186120,-255.88349977637847,-178.07564520233055,95.53544751815484,296.7495225599193
720575940635848287,R1-6,229604,196808,142880,-147.28864037474074,35.51794110144944,138.66683152686306,61.04897671399827
720575940623965133,R1-6,209388,286420,130800,-315.74367081532836,59.44290837030452,287.1382286507886,144.1497924478084
720575940640597923,R1-6,215904,307220,130200,-360.3517313002241,69.33677040021391,328.61177852504596,163.32561646969833
720575940637665454,R1-6,204300,298776,128680,-337.83851025844433,61.85699852302868,306.17308112667234,155.6251640105901
720575940628336917,R1-6,124964,370612,158440,-489.1867143506489,-102.19393066766568,327.0777308465939,377.8457343238561
720575940616012138,R1-6,224420,206124,146453.33333333334,-168.24727031907554,20.169206877685937,146.02920527817582,85.96168961647595
