root_id,cell_type,side,x,y,z
720575940644774144,R1-6,right,807738,316018,165520
720575940628300032,R7,left,344444,248969.33333333334,186946.66666666666
720575940621056000,R1-6,right,846476,190456,143360
720575940633723776,R1-6,right,819446,241142,139820
720575940629400832,R7,left,256980,357636,221400
720575940635455104,R1-6,right,859696,231064,135200
720575940631392256,R1-6,right,791936,324256,87440
720575940625661952,R1-6,right,815492,335004,74280
720575940644725120,R1-6,right,836656,289664,71320
720575940631242240,R1-6,right,839300,200796,125560
720575940616715264,R1-6,right,850216,326292,94880
720575940612299008,R1-6,left,142418,254148,184620
720575940627974656,R1-6,left,230256,301356,208120
720575940635679104,R1-6,left,266245,348100,187920
720575940610056960,R1-6,left,188570,247956,157260
720575940607976064,R1-6,right,805772,183060,124040
720575940626290816,R1-6,left,332889.3333333333,222549.33333333334,178186.66666666666
720575940624320640,R1-6,right,566360,304858,133680
720575940621372160,R1-6,right,844292,372204,117760
720575940626598400,R1-6,right,810828,205944,91120
720575940625029120,R1-6,left,439899,297837,186250
720575940613764352,R1-6,right,749804,245466,140460
720575940623790848,R7,left,248796,353204,202960
720575940616902528,R1-6,right,847756,345376,110560
720575940613987584,R1-6,right,751516,226306,150940
720575940633111168,R1-6,right,871460,242648,134520
720575940626311040,R1-6,left,343354,345182,103400
720575940606319616,R1-6,right,817552,317044,88840
720575940624173952,R1-6,left,136052,416968,143720
720575940619691136,R1-6,right,846316,257580,110080
720575940635651200,R8,right,813608,266884,109466.66666666667
720575940615379840,R1-6,left,630760,287926,153220
720575940621834624,R8,right,845880,276908,131160
720575940653115392,R1-6,right,833000,199348,133880
720575940628429440,R7,left,255680,312792,142920
720575940621138688,R1-6,right,885460,267644,154240
720575940622958208,R1-6,right,833108,238314,125740
720575940620943232,R1-6,left,185646,212964,174480
720575940640256640,R7,left,274244,365100,184320
720575940618456064,R7,left,267756,347864,168320
720575940633822080,R8,left,188924,258588,166920
720575940632549760,R1-6,right,856136,276964,111360
720575940627838336,R1-6,right,791106,342036,173020
720575940606723456,R7,right,807516,279824,98440
720575940624312832,R1-6,right,479808.8,249480.8,174464
720575940605608192,R1-6,right,851140,250356,121640
720575940640108160,R1-6,right,826838,312490,103920
720575940609942784,R1-6,right,816760,318568.8,147504
720575940622258816,R7,right,539866,281826,152900
720575940622978048,R1-6,left,200142,219694,156060
720575940630915328,R1-6,right,757809.3333333334,384254.6666666667,115253.33333333333
720575940619004672,R1-6,right,873072,288264,118440
720575940622788608,R1-6,right,792504,350752,90760
720575940623950976,R1-6,right,801568,337612,82320
720575940615685760,R1-6,right,848116,192256,145480
720575940614053632,R1-6,left,107060,340032,174040
720575940627042176,R1-6,right,645550.6666666666,231517.33333333334,91893.33333333333
720575940619213440,R1-6,left,373948,238436,151350
720575940622537472,R1-6,right,474219.6,330563.6,148440
720575940616833152,R7,right,532816,307324,152160
720575940613424512,R1-6,right,542480,233730,166780
720575940622549632,R1-6,left,208188,264588,135080
720575940632245504,R1-6,left,266008,237104,139240
720575940625025536,R8,left,276740,295560,135600
720575940635865216,R7,right,587829.6,271348.8,176072
720575940620523008,R1-6,right,689556.4444444445,280710.22222222225,185453.33333333334
720575940628439680,R1-6,left,148648,424064,137040
720575940640332544,R1-6,right,802644,250352,91120
720575940630694656,R7,left,289064,373016,196480
720575940633552768,R1-6,left,397716,218956,150560
720575940623325824,R1-6,left,128388,416316,149240
720575940623596928,R1-6,left,194192,287672,136640
720575940626782848,R1-6,right,478878.6666666667,298376,166853.33333333334
720575940629025792,R1-6,left,235090,291832,181900
720575940622829824,R7,right,782476,267784,102040
720575940632280320,R8,left,153572,255752,183920
720575940615480448,R1-6,right,853024,273156,115200
720575940635635584,R8,right,835224,290938,128100
720575940640439424,R1-6,right,866600,250860,170000
720575940623044480,R1-6,left,273649.3333333333,318684,154293.33333333334
720575940634509824,R7,right,820720,223768,134480
720575940627946880,R1-6,left,108440,372552,163600
720575940621151744,R1-6,right,871396,255832,155000
720575940626916864,R8,left,205584,251468,169840
720575940640018688,R1-6,right,863256,230600,172960
720575940608092800,R7,left,206128,161904,164520
720575940632870912,R1-6,left,232604,216408,136800
720575940617385856,R1-6,right,794004,336192,84640
720575940630704896,R1-6,right,653224,279644,60940
720575940621319040,R1-6,right,520732,266456,198140
720575940618154752,R1-6,right,621084,185966,106000
720575940627456128,R1-6,left,199980,173752,169480
720575940639979520,R1-6,right,842112,324236,104280
720575940639033856,R1-6,left,177956,362936,140120
720575940610417408,R8,right,842292,310264,116560
720575940626412288,R1-6,left,368902,296806,180540
720575940620875136,R1-6,right,843368,387032,91120
720575940640675712,R7,right,620380,254429.33333333334,193453.33333333334
720575940637718144,R1-6,left,453046,252600,138420
720575940624295296,R1-6,left,166282,366714,175780
720575940635217280,R1-6,left,136176,260852,183040
720575940640994176,R1-6,left,211170.66666666666,344848,128146.66666666667
720575940634897280,R1-6,right,568236,317180,137940
720575940606554880,R8,left,246036,350624,213120
720575940621406464,R1-6,right,662133.3333333334,190908,181746.66666666666
720575940634239744,R1-6,left,135108,290188,174640
720575940618415232,R1-6,left,155568,262904,167640
720575940618657152,R1-6,right,876832,281780,122360
720575940632506496,R1-6,right,827104,348992,85480
720575940616271488,R7,right,793064,179064,158680
720575940628560768,R1-6,left,276557.3333333333,293912,200993.33333333334
720575940640533248,R1-6,left,251070,229808,194280
720575940631882752,R1-6,left,321508,185404,137426.66666666666
720575940632216064,R1-6,right,855288,352048,126360
720575940621185536,R1-6,left,428716,266866,144780
720575940638665344,R1-6,right,865788,310312,141680
720575940622049408,R8,left,268240,305644,141880
720575940618231168,R1-6,right,758316,309235,124910
720575940606635904,R1-6,right,826748,387720,82840
720575940644738048,R1-6,left,228328,299896,142200
720575940623300992,R7,left,227264,243068,164080
720575940627636992,R1-6,left,183120,184044,165860
720575940624698112,R7,left,325253.3333333333,237486.66666666666,136240
720575940622904192,R1-6,left,212864,325833.3333333333,156626.66666666666
720575940623901824,R8,left,247848,321712,170200
720575940614670080,R1-6,left,138128,375184,152680
720575940624401920,R8,left,386076.17391304346,324981.39130434784,172961.73913043478
720575940655662976,R1-6,right,838468,182068,149800
720575940630546944,R1-6,left,136480,382772,151200
720575940630097408,R1-6,left,129944,341924,161360
